"","species","shp_res_pos","shp_feat_pos","cor","p","abs(shp_res_pos/shp_feat_pos)"
"92","Clostridium.sp..MP229B3",279,316,0.321421007385383,3.72716986792062e-08,0.882911392405063
"93","Clostridium.paraputrificum",309,306,0.859304601647132,1.14198973154025e-105,1.00980392156863
"94","Intestinibacter.bartlettii",343,343,0.713593720626677,8.37111731745159e-56,1
"95","Bifidobacterium.longum",262,253,0.77612814070245,1.77706727729944e-72,1.03557312252964
"96","Intestinibacter.sp..MP232C5",321,307,0.685102492425359,1.26668235923812e-49,1.04560260586319
"97","Veillonella.atypica",203,207,0.814793006285372,8.48705786813798e-86,0.980676328502415
"98","Veillonella.sp..MP19D1_02.09",300,234,0.52468001907255,5.72563444962359e-25,1.28205128205128
"99","Clostridium.sp..MP49A11",361,348,0.621141841440682,4.82968531084627e-38,1.03735632183908
"100","Streptomyces.flaveus",100,230,0.456966339032581,4.97746739537362e-18,0.434782608695652
"101","Pediococcus.acidilactici",251,307,0.605445020618429,1.33141215603171e-35,0.817589576547231
"102","Lactobacillus.casei",233,317,0.197334895491579,0.00623995734518433,0.735015772870662
"103","Veillonella.tobetsuensis",331,321,0.586042831052397,9.02578109535461e-33,1.03115264797508
"104","Lachnoclostridium.sp..MP429E6",337,307,0.674341334392795,1.79864842124077e-47,1.09771986970684
"105","Clostridium.sp..MP5B6",323,331,0.793695691477059,3.5591463040917e-78,0.97583081570997
"106","Veillonella.dispar",308,294,0.736380108969798,2.5536359268943e-61,1.04761904761905
"107","Bifidobacterium.moukalabense",361,359,0.545044383053703,2.23316721818208e-27,1.00557103064067
"108","Lactobacillus.gasseri",310,329,0.397664718749379,4.02185051631701e-13,0.94224924012158
"109","Clostridium.sp..AT4",131,328,0.276692497554754,6.76322456436932e-06,0.399390243902439
"110","Clostridium.sp..MP113D9",237,357,0.819076266150525,1.83566902730853e-87,0.663865546218487
"111","Blautia.sp..MP624D4_ig1",279,297,0.603108050706718,2.99002112098575e-35,0.93939393939394
"112","Clostridium.disporicum",343,341,0.716038322749394,2.2762852526529e-56,1.0058651026393
"113","Lachnospiraceae.bacterium.9_1_43BFAA",197,301,0.650596357928759,5.05174546063586e-43,0.654485049833887
"114","Clostridium.sp..MP551E06",335,358,0.796678155144939,3.39890318591581e-79,0.935754189944134
"115","Clostridium.sp..MP588C02",328,339,0.62919385837195,2.36566584241351e-39,0.967551622418879
"116","Lachnospiraceae.bacterium.AM25.17",268,316,0.635070687079216,2.49637849744198e-40,0.848101265822785
"117","Clostridium.sp..MP35F6",360,342,0.524526123676518,5.94008126787693e-25,1.05263157894737
"118","X.Ruminococcus..sp..HF10",339,329,0.436895411374551,2.92811666165295e-16,1.03039513677812
"119","Coprobacillus.sp..HF33",272,349,0.310007442555672,1.533698415228e-07,0.779369627507163
"120","Firmicutes.bacterium.AF25.13AC",103,341,0.328862040220282,1.41109628935227e-08,0.302052785923754
"121","X.Eubacterium..hallii",360,315,0.20714771406065,0.00306244413348759,1.14285714285714
"122","Sutterella.wadsworthensis",300,277,0.762604694134481,1.97217789240312e-68,1.08303249097473
"123","Bacteroides.finegoldii",149,346,0.179145328730026,0.0208836289017866,0.430635838150289
"124","Roseburia.sp..CAG.471",210,354,0.267871526009648,1.68352565927739e-05,0.593220338983051
"125","Firmicutes.bacterium.CAG.345",269,362,0.439459544003996,1.76186200845418e-16,0.743093922651934
"126","Clostridiaceae.bacterium.OM08.6BH",360,358,0.870152332140668,1.44767195432773e-111,1.00558659217877
"127","Lachnospiraceae.bacterium.OF09.6",216,362,0.44409358805224,7.03593983309853e-17,0.596685082872928
"128","Eubacterium.sp..CAG.252",118,360,0.36803854312388,4.90125317922519e-11,0.327777777777778
"129","Lachnospira.sp..MP468C3",338,338,0.537502229379927,1.811703265512e-26,1
"130","Lachnospiraceae.bacterium",229,362,0.336408304529217,5.11255463071851e-09,0.632596685082873
"131","Eubacterium.eligens.CAG.72",323,341,0.452240997379671,1.33088827785743e-17,0.947214076246334
"132","X.Clostridium..leptum",228,313,0.489137367214128,3.92575828194036e-21,0.728434504792332
"133","Ruminococcus.sp..AM28.13",128,357,0.319644242578838,4.68712893854571e-08,0.358543417366947
"134","Turicibacter.sanguinis",352,303,0.5080886786246,4.04651927557489e-23,1.16171617161716
"135","Clostridiaceae.bacterium.AF29.16BH",359,357,0.860655839305957,2.24702059693521e-106,1.00560224089636
"136","Coprococcus.sp..MP473C9re2",48,361,0.401872243247114,1.95075465574256e-13,0.132963988919668
"137","Acholeplasmatales.bacterium",354,361,0.628764008183636,2.76949265897251e-39,0.980609418282548
"138","Firmicutes.bacterium.AM10.47",213,363,0.588847649972353,3.66191287562533e-33,0.586776859504132
