Time,Treatments,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,Replicates,Experiments
17.142857,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.015958762,0.0,0.0,0.0,0.0,0.004259722,0.006694496,0.0,0.022392746,0.0028868667,0.0,0.0062106554,0.0,0.00056562544,2.7615812,0.0,8.1193895e-05,0.0,0.0037649279,1.972818,0.0028723306,0.011956106,1.6616678,0.023256231,0.0004781247,1.9578588,0.0,2.2611246,0.0,1.5708859,0.0020242762,2.3046153,0.0022575613,0.4465208,0.0,0.0009970046,7.2595353,0.25408536,0.0,1.2575938,0.032720134,0.26048604,3.9677086,2.2223618,1.8765987,3.011674,0.4108723,1.5872455,0.13540529,0.0033542938,3.5249567,0.74699813,2.0149808,0.0014801078,0,1884
20.571428,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.01975859,0.0,0.0,0.0,0.0,0.0019706334,0.0039566257,0.0,0.02345791,0.0031358844,0.0,0.0065996614,0.0,0.0,2.8362267,0.00053445407,0.00043790636,0.0,0.0053899954,2.8878758,0.0034191574,0.013988069,1.0100919,0.31501257,0.0,1.5436378,0.0,2.78613,0.0010524028,1.1840602,0.0017429973,3.7709165,0.0021558024,0.2558484,0.0,0.0025838225,6.982106,0.27086017,0.0,1.0885068,0.036743917,0.24507518,2.9396155,3.0425103,3.2977352,2.7173407,0.2928881,2.6966202,0.2401294,0.0037829203,2.5200067,0.904054,2.2625854,0.0007892171,0,1884
24.0,S2-S7-S8-S10-S11-S13-S15_116044,0.0,0.02432473,0.0,0.0,0.0,0.0,0.0024110817,0.006379727,0.0,0.048172045,0.0025900672,0.0,0.005706207,0.0,0.0015343524,5.4676723,0.0010846143,0.0,0.0,0.009381165,2.082668,0.0020063696,0.025674054,1.7208607,0.1986077,0.000625965,2.2607346,0.0,1.7282015,0.0,1.214149,0.0,2.771375,0.0055677732,0.33784404,0.001622923,0.0023675072,5.8077903,0.28441125,0.0,1.7510633,0.03394843,0.22855061,4.1134586,2.4056532,2.4688911,1.4384485,0.44117442,2.8388097,0.18750408,0.003105326,2.06366,0.5948776,2.1580021,0.0013564733,0,1884
0.0,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.0041744504,0.0020902748,0.00044163916,0.0027129373,0.0,0.00411356,0.0,0.0,0.0,0.0,0.00070322544,0.0,0.0032845894,0.0,0.002479323,3.4044273,0.0,0.0,2.8497818,0.0,0.0,0.0,0.0,0.0,0.0,2.6484969,0.0,0.0,2.1327896,0.0,0.0,2.1416678,1.409679,0.0,0.0,0.0,0.0,1.6535906,2.9800022,0.0,0.9778346,0.315096,3.529247,0.0,0.0,0.0,0.0,2.7092059,1.3150522,1.4424807,0.0,0.82675064,3.7304175,1.2578186,3.7410367,0,1885
3.4285715,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.0072131697,0.0015764518,0.001382061,0.026604291,0.0,0.0032324651,0.0,0.0,0.0,0.0,0.0003950195,0.0,0.003705971,0.0,0.0042237244,4.023928,0.0010950412,0.0,2.5331888,1.7563896e-05,0.0,0.0018039895,0.0005419462,0.0017552188,0.0,1.9664395,0.0,0.0,2.1691766,0.0,0.0,3.1289465,0.8229332,0.00022151173,0.00014890223,0.0,0.00012961039,1.1474224,3.1238503,0.0,1.5093187,0.36137682,2.4662948,0.0009951504,0.0,0.00048882986,0.0004480051,2.0347476,1.7161078,1.8757582,0.040565807,0.5485879,5.502256,0.7544545,3.0474226,0,1885
6.857143,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.00517812,0.00222118,0.0008773731,0.17620856,0.0,0.0047804737,0.0,0.0,0.0,0.0,0.0,0.0,0.0029159659,0.0,0.0062987814,3.3823848,0.0,0.00031994062,3.4142091,0.0006539908,0.0,0.0,0.00038436067,0.0003234179,0.0,3.2208586,0.0015493898,0.0,2.996622,0.00097653916,0.0,2.888752,1.0881224,0.0009771774,0.00087307463,0.0,0.0,1.1193619,2.5916238,0.0,0.91314554,0.2569258,3.1240556,0.0,0.0,0.0,0.00048758794,1.8680468,1.3901528,3.0225255,0.09102413,1.4667188,5.055825,1.4213328,4.0562563,0,1885
10.285714,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.0056363097,0.0028337457,0.0,0.3762177,0.0,0.002878255,0.0,0.0,0.0,0.0,0.0,0.0,0.008850936,0.0,0.007972682,3.4757142,0.0004279859,0.00015975848,4.127802,0.00030641883,0.0,0.0,0.0,0.0,0.0,1.164507,0.0,0.002302282,1.7255574,0.0,0.0,1.6046542,0.21309164,0.0,0.0,0.00038315385,0.0,1.9013888,2.5408142,0.00046876608,0.5705694,0.2613764,3.2475736,0.00032899372,0.0011935008,0.0010444085,0.0011981176,2.9859467,1.4859917,5.587935,0.21847337,0.6543029,3.9629612,1.3191959,4.5222397,0,1885
13.714286,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.00050641596,0.00084185234,0.0,0.29734662,0.0,0.00021099523,0.0,0.0,0.0,0.0,0.00033263114,0.0,0.0014764252,0.0,0.009064526,2.772291,0.0,0.0,3.3650599,0.0012157881,0.00028493776,0.0,0.00023863847,0.0004903263,0.0,0.41027078,0.0004135734,0.0,1.9915811,0.00095581025,0.0011629962,1.6965158,1.1728375,0.001077882,0.0,0.0,0.0014796811,1.6798733,3.4784474,0.0014746168,0.7985003,0.3359413,3.4580083,0.0,0.0,0.00015896541,0.0,3.0727663,1.390361,3.4066803,0.29828286,1.2236285,3.1570165,1.4405682,3.2618995,0,1885
17.142857,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.002062499,0.0,0.0005682456,0.3538639,0.0,0.0035162824,0.0,0.0,0.0,0.0,0.0,0.0,0.0017897765,0.0,0.017847206,1.249165,0.00016244281,0.0,3.3094592,0.0008070532,0.0,0.0,0.0,0.00021395154,0.0,0.6769838,0.0020289628,0.0,4.3892803,0.0,0.0,1.3117492,1.3859512,0.00038549764,0.0,0.000593024,0.0009842354,0.7738626,3.4952488,0.00095411413,0.8264898,0.36201867,3.4755864,0.0020155334,0.0,0.0,0.0,1.5393951,0.9277066,5.179784,0.52929175,0.48782396,3.1126497,1.1822311,2.79594,0,1885
20.571428,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.0031116367,0.0011138393,5.6547524e-06,0.27774253,0.0,0.0,0.0,0.0,0.0,0.0,1.498172e-05,0.0,0.0030021395,0.0,0.013880244,4.4600573,0.0002771704,0.00064797694,4.74998,0.0018438824,2.5366971e-05,0.0,0.00090263545,0.0005344555,0.0,0.59457254,0.0018747072,0.00041463407,4.3838315,0.0011550523,0.0,1.1129234,1.3333305,0.0,0.00062578334,0.0,0.0011545072,2.793804,1.2732654,0.00035478137,0.713235,0.47207177,1.0905722,0.0,0.0,0.0,0.0,3.641773,0.71832824,8.366256,0.43391135,0.7734896,4.0784416,1.52242,4.9558363,0,1885
24.0,S1-S2-S3-S4-S6-S11-S13-S15_915005,0.0031952923,0.0005080055,0.00139468,0.07782117,0.0,0.0030170106,0.0,0.0,0.0,0.0,0.0,0.0,0.00044524588,0.0,0.025336772,4.4133973,0.0,0.0,2.7794442,0.0010851946,0.0,0.0,0.00038338712,0.00030354154,0.0,0.4859472,0.0,0.0012909375,3.1713142,0.00078015914,0.000807267,1.3422318,1.2774779,0.0002818971,0.0,0.0015874654,0.0001879393,1.8752953,2.2889292,0.0,1.1670299,0.2965828,4.4944696,0.0,0.0007687611,0.0025575864,0.00012219384,3.1924717,0.6055863,4.977205,0.881353,0.60197914,1.3042543,1.5768741,3.808323,0,1885
0.0,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.004282271,0.0011580607,0.00092120364,0.0,0.0,0.002207334,0.0022651548,0.0,0.0017570928,0.0,0.0,0.0042561186,0.0,2.4595076e-05,0.0031281682,0.0,0.59498465,2.1576517,1.3524395,0.0,0.0,0.0,0.0,1.1735364,4.065059,1.2752305,4.098755,0.5902945,0.0,0.0,2.581182,0.8942362,1.1347095,3.5809574,0.0,3.2211106,0.0,0.81756103,0.0,1.4506806,0.0,3.1445596,2.7208283,0.0,0.0,0.0,0.51081073,1.9787327,2.9265888,1.7875143,0.0,1.3802718,0.0,0.0,0.105117895,0,1886
3.4285715,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.0028198296,0.00064246805,0.0046323915,0.0,0.0,0.0030075205,0.002257122,0.0,0.0030298051,0.0,0.0,0.004886695,0.0,0.000353358,0.0017686817,0.00013521418,0.60877204,2.798228,1.1533314,0.0,0.00062265445,0.0,0.0017191926,1.288851,3.5288167,1.7239178,4.2730727,0.34233835,0.001420022,0.00137725,1.7668756,0.9865278,1.8647723,5.3658977,0.0010751012,3.6571906,0.0006450326,0.9456175,0.0015213651,0.8800466,0.0012854792,4.256626,2.6841917,0.0026811021,0.0,0.00023190428,0.41687122,1.4225483,2.6327524,1.3214868,0.006077164,1.565137,0.0009562225,0.0019520073,0.09000341,0,1886
6.857143,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.002144045,1.4193191e-05,0.02339682,0.0,0.0,0.0019416239,0.0020157301,0.0,0.0060696388,0.0,0.0,0.004893717,0.0,0.0012668468,0.00062847964,0.0017000154,0.35030243,2.8696308,0.9987483,0.0,0.0013998448,0.0,0.0,1.339858,3.914865,0.78790253,2.7140005,0.6634622,0.00026897754,0.00049404206,2.4471688,1.0704011,1.1319025,4.9269223,0.0,4.7569714,0.0,0.8082308,0.0,1.6756821,0.0015059912,4.103358,2.0662203,0.026595395,5.133589e-05,0.0023965992,0.33516,2.1001408,2.7252877,2.2767074,0.011965204,1.8109592,0.0018181776,0.0032862853,0.08081818,0,1886
10.285714,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.0045338445,0.002026429,0.114419505,0.0,0.0,0.0028555472,0.001925549,0.0,0.007238736,0.0,0.0,0.007437073,0.0,0.0,0.0030684685,0.0,0.80049527,2.4464643,1.561001,0.0,0.0,0.0010502815,0.0,1.4801571,2.2721467,1.250194,5.7906003,0.628794,0.0,0.0,3.310054,0.73126775,1.0574799,3.8769903,0.0013507166,2.1670284,0.0,1.0722854,0.0,0.84907174,0.004814491,3.39439,1.9334931,0.13119933,0.0008926129,0.0,0.2814283,1.260682,2.1244414,2.5521655,0.018356763,1.8225371,0.0019766188,0.0054749995,0.09135734,0,1886
13.714286,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.0026212847,0.0010952193,0.29017827,0.0,0.0,0.0019926627,0.0024943987,0.0,0.008047983,0.0,0.0,0.006184292,0.0,0.0,0.0028261256,0.0,0.42018026,2.2905262,1.7818415,0.0,0.00041880418,0.0,0.0,0.85553503,5.8749657,1.0268474,2.5678365,0.7512906,0.0,0.0013700404,2.4718196,0.28693005,1.2551699,3.656108,0.0,4.9346013,0.0,0.6536639,0.0013801355,0.33864203,0.008393355,4.2154164,3.915433,0.28787133,0.00175278,0.0,0.7013366,2.567182,2.2418172,0.76853484,0.03404049,1.3937316,0.0022129195,0.006269179,0.082192995,0,1886
17.142857,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.0014226042,0.0010426206,0.41638008,0.0,0.0,0.0010699834,0.0028828047,0.0,0.010312609,0.0,0.0,0.0043501067,0.0,0.0018387573,0.0031795085,0.0003294836,0.6321976,2.3621714,1.0633006,0.0014799343,0.0008335293,0.0,0.0010111318,0.92151195,4.991691,1.0185696,4.7024,0.28667447,2.2564658e-05,0.0,2.7235396,1.0392826,0.9504071,3.7215018,0.0009260448,4.318482,0.0,0.5312632,0.0010328809,0.020999692,0.008070975,5.932295,2.8145196,0.4124164,0.0,0.0,0.74451077,2.2707849,2.7428937,2.0769002,0.0342071,1.9077696,0.0020661606,0.012234669,0.10918898,0,1886
20.571428,S1-S2-S3-S6-S7-S9-S12-S14-S15_157866,0.0025894337,0.0007567932,0.05047275,0.0,0.0,0.00061992765,0.0027737315,0.0,0.0103067,0.0,0.0,0.0108309705,0.0,0.0,0.00181939,0.0007321978,0.3968376,2.5026898,1.7665031,0.0008086122,0.0,0.001288475,0.0,1.2828683,4.1934342,1.6127645,2.4944983,0.43614367,0.0019547308,0.0005057642,2.831034,0.91274023,0.52214605,3.8080153,0.0,3.380628,4.2562497e-05,1.0543183,0.0,0.012714095,0.011038217,4.313956,2.667706,0.17453171,0.0,0.00044213064,0.5476845,2.256122,3.758865,1.1412513,0.063586794,1.9140205,0.008448998,0.011274804,0.111165464,0,1886
